filename,width,height,class,xmin,ymin,xmax,ymax
1313.png,876,490,barcode,204,466,232,490
1313.png,876,490,barcode,538,319,556,356
1414.jpg,640,480,barcode,7,243,139,329
IMG_0031.JPG,1600,1200,barcode,1161,568,1269,618
IMG_0031.JPG,1600,1200,barcode,1335,221,1408,287
IMG_0031.JPG,1600,1200,barcode,654,1099,712,1200
IMG_0031.JPG,1600,1200,barcode,379,586,484,649
IMG_0032.JPG,1600,1200,barcode,732,550,783,691
IMG_0062.JPG,960,1285,barcode,104,740,471,818
IMG_0062.JPG,960,1285,barcode,544,961,759,1050
IMG_0213.jpg,640,360,barcode,309,152,345,185
IMG_0300.jpg,480,640,barcode,76,565,99,610
IMG_0415-001.JPG,800,765,barcode,351,511,383,562
IMG_0415-001.JPG,800,765,barcode,788,478,800,495
IMG_20160316_110209.jpg,3120,3120,barcode,1703,421,2026,686
img_3215.jpg,3264,2448,barcode,2627,1355,2735,1497
img_3215.jpg,3264,2448,barcode,1767,1713,1956,1839
img_3215.jpg,3264,2448,barcode,835,1318,1006,1421
IMG_3904.jpg,800,800,barcode,461,598,596,676
IMG_5770.jpg,2448,3264,barcode,2060,1755,2194,1900
IMG_5770.jpg,2448,3264,barcode,2177,2786,2360,2942
IMG_5770.jpg,2448,3264,barcode,1725,2628,1856,2786
IMG_6427.jpg,608,380,barcode,215,258,237,287
IMG_6427.jpg,608,380,barcode,102,188,127,217
IMG_6427.jpg,608,380,barcode,349,148,380,166
img_8317.jpg,2048,1536,barcode,626,1335,724,1467
img_8317.jpg,2048,1536,barcode,647,1007,741,1074
img_8317.jpg,2048,1536,barcode,1788,741,1933,821
img_8846.jpg,3491,2675,barcode,2043,2059,2221,2153
img_8846.jpg,3491,2675,barcode,3066,381,3268,540
index.jpeg,168,300,barcode,125,173,168,204
KakaoTalk_20160929_171954207.jpg,960,540,barcode,652,506,723,530
KakaoTalk_20160929_171954207.jpg,960,540,barcode,742,508,802,531
kj.JPG,740,493,barcode,406,196,518,281
maxresdefault.jpg,1280,720,barcode,472,518,567,591
mech-lift.jpg,791,527,barcode,397,160,519,232
mech-lift.jpg,791,527,barcode,185,81,348,160
muscletech-platinum-creatine-back.jpg,586,652,barcode,321,445,423,625
My-Costco-Grocery-Cart-www.sarahkayhoffman.com-groceryshopping-healthyliving-costco-Whole-Organic-Chicken-bone-broth.jpg,800,800,barcode,608,311,682,377
o1AJ9qDyyJNSpZWhUgGYc3MngFqoAMxMQowPthk6MCDzrNWyk.jpeg,4032,3024,barcode,2985,1925,3091,2080
o1AJ9qDyyJNSpZWhUgGYc3MngFqoAMxMQowPthk6MCDzrNWyk.jpeg,4032,3024,barcode,1856,1351,1927,1454
packaged-food_625x350_51435663447.jpg,625,350,barcode,186,100,300,133
packaged-food_625x350_51435663447.jpg,625,350,barcode,184,209,283,250
paikshow_XD1IFqhD9dt.jpg,550,412,barcode,382,391,438,412
paikshow_XD1IFqhD9dt.jpg,550,412,barcode,519,305,550,321
photo1.jpg,640,478,barcode,211,325,269,389
photo1.jpg,640,478,barcode,87,337,112,380
photo1.jpg,640,478,barcode,343,312,383,343
pl18967661-food_grade_pet_food_packaging_bag_flat_bottom_eight_side_quad_seal_heat_seal.jpg,800,800,barcode,336,594,402,658
portfolio-package-perzyte-pharma-box.jpg,640,554,barcode,264,371,296,445
PTAZ.40-5-300x300.jpg,300,300,barcode,243,238,259,257
Rectangular-Box-Package-Design-Front-Side-PSD-Mockup.jpg,1061,800,barcode,743,635,827,707
s-l640.jpg,344,640,barcode,6,202,39,362
ScienceisRealSticker_2048x.jpg,1600,1600,barcode,824,1228,1056,1388
search.ps4tatic.net.jpeg,300,400,barcode,125,155,174,241
search.ps4tatic.net.jpeg,300,400,barcode,84,273,137,357
search.pstati3c.net.jpeg,393,400,barcode,265,325,321,352
search.pstatic.0.jpeg,533,400,barcode,394,219,525,261
search.pstatic.ne1.jpeg,533,400,barcode,240,279,311,321
search.pstatic.ne1.jpeg,533,400,barcode,309,279,374,308
search.pstatic.net.jpeg,533,400,barcode,334,259,409,291
search.pstatic.net.jpeg,533,400,barcode,486,244,521,286
search.pstatic.neto.jpeg,822,400,barcode,468,282,533,306
search.pstatic.neto.jpeg,822,400,barcode,476,358,574,400
small-business-barcoding.jpg,1200,630,barcode,710,271,950,390
soup.jpg,320,220,barcode,285,75,304,109
tag6.jpg,480,480,barcode,116,18,177,116
VegNews.Vega.jpg,390,293,barcode,321,219,343,265
walmart-3.jpg,3264,2448,barcode,943,1666,1159,1803
whats-in-my-grocery-cart.jpg,800,600,barcode,388,425,439,461
whole-shot-of-food.jpg,6000,4000,barcode,5178,828,5578,1056
whole-shot-of-food.jpg,6000,4000,barcode,3435,466,3773,637
